id;brand;actual_price;date
4df105c6-d2e7-51cd-89d2-566ba9cc7c38;ARBO;900;2024-01-01T00:00:00.000+03:00
480f8fae-80eb-56de-8a3e-350481011828;ECKO Unl;499;2024-01-01T00:00:00.000+03:00
b9dfa37b-24b8-5522-b1bc-902783c13d4f;yellowvib;1,800;2024-01-01T00:00:00.000+03:00
b91d6005-3d6c-58d2-834b-880f731c30ba;Oka;1,199;2024-01-01T00:00:00.000+03:00
a84a78a4-266b-5d45-8195-5b63e0653ef6;Oka;1,199;2024-01-01T00:00:00.000+03:00
6b976315-706f-54c8-b151-df18662df9a8;Oka;1,250;2024-01-01T00:00:00.000+03:00
5bd8088a-8078-564c-b787-c035c9baccda;Oka;1,199;2024-01-01T00:00:00.000+03:00
a7daa7f6-6c1f-52da-ba93-963fe8e4726a;TEE BUD;1,199;2024-01-01T00:00:00.000+03:00
4655bcb6-10b7-5de4-9738-0590377cc0cd;Oka;1,250;2024-01-01T00:00:00.000+03:00
42ffae0c-8dff-5c04-8eea-540aa9ec013b;Oka;1,199;2024-01-01T00:00:00.000+03:00
94d0eaf9-b114-5f7d-b5fe-c0255cab822c;Oka;1,199;2024-01-01T00:00:00.000+03:00
d8493f24-17b3-5b66-8c59-b0f8c5ae4df2;ARBO;598;2024-01-01T00:00:00.000+03:00
33a370ca-75ee-530a-8d76-926c7fdc384c;EYETWIST;799;2024-01-01T00:00:00.000+03:00
0ff6ea6a-b160-5cb9-997f-7ac22707ba9a;ARBO;820;2024-01-01T00:00:00.000+03:00
4284d2d3-f9e9-526a-bbe9-b63f835e8ef0;yellowvib;1,750;2024-01-01T00:00:00.000+03:00
e40cb0d4-aa37-5f61-bd47-0a901a9500b1;She;999;2024-01-01T00:00:00.000+03:00
6cc8f7af-7e13-5717-b6c5-d2fa0e71e739;ARBO;725;2024-01-01T00:00:00.000+03:00
162256f1-2957-5090-ab46-bb3010a93016;Lucky Bi;999;2024-01-01T00:00:00.000+03:00
598ce425-e76b-5986-8024-e01987a6cda5;Lucky Bi;999;2024-01-01T00:00:00.000+03:00
a348cec5-508d-5be1-adb8-23461a35ed59;Lucky Bi;999;2024-01-01T00:00:00.000+03:00
65b4b559-177d-5638-80b1-70db43d9bfa5;Lucky Bi;999;2024-01-01T00:00:00.000+03:00
16e2f08f-b719-54e3-9615-3ca00e75c387;REF;2,397;2024-01-01T00:00:00.000+03:00
e27f188f-f6e3-5e2f-b4ab-1ca06c67d25e;REF;2,397;2024-01-01T00:00:00.000+03:00
9ff2db20-16ac-51d0-ae63-fa3f06b7c0cf;REEB;1,199;2024-01-01T00:00:00.000+03:00
7598c42e-1eda-5c26-9a3b-da1b808c92b8;REEB;999;2024-01-01T00:00:00.000+03:00
15c79b9c-649a-5568-be8f-10a6724f0f74;REEB;1,099;2024-01-01T00:00:00.000+03:00
6813dd3b-260e-54ca-bf8f-14d659c5d718;REEB;1,499;2024-01-01T00:00:00.000+03:00
ee970f9f-afcc-58d7-8e04-887df2c84056;REEB;999;2024-01-01T00:00:00.000+03:00
6445e566-8b00-53ad-97f5-f856299cd246;REEB;1,199;2024-01-01T00:00:00.000+03:00
85a9af12-e79d-526b-90b6-259edab2f517;REEBOK CLASSI;2,499;2024-01-01T00:00:00.000+03:00
8229a5f1-de9b-597c-8e8b-d0ebc87a6656;REEB;999;2024-01-01T00:00:00.000+03:00
2ee731c5-8bd8-5c17-853f-9acffe040a31;REEB;1,199;2024-01-01T00:00:00.000+03:00
32971b7c-22ff-5498-aae1-becd37fe7b33;REEB;1,099;2024-01-01T00:00:00.000+03:00
50d9e1df-2114-511b-8f7c-c3c32318634d;REEB;1,199;2024-01-01T00:00:00.000+03:00
427a48e1-381c-52fd-9f31-85dbe6046db5;Lucky Bi;1,999;2024-01-01T00:00:00.000+03:00
e57c3636-3ed1-52ba-9536-cfd4f8e976a7;Lucky Bi;1,999;2024-01-01T00:00:00.000+03:00
2e705be9-f3ac-5aeb-8812-846af475cc67;Lucky Bi;1,999;2024-01-01T00:00:00.000+03:00
2fe55924-f9ac-559f-a846-f81abcbba0e2;Lucky Bi;1,999;2024-01-01T00:00:00.000+03:00
5903f168-7f9b-574c-9069-59d1fd284d95;Lucky Bi;1,999;2024-01-01T00:00:00.000+03:00
5a6e7382-8aec-5ea4-be98-f66923f559dc;Lucky Bi;1,999;2024-01-01T00:00:00.000+03:00
a9860682-e2d3-51dd-9a90-deb6ef86d1b5;Lucky Bi;1,499;2024-01-01T00:00:00.000+03:00
48f841c9-a899-5c8b-bae3-31b9abe9347e;Lucky Bi;1,499;2024-01-01T00:00:00.000+03:00
3ccc9dd5-2b99-591d-a348-398cc3ae831b;Lucky Bi;1,499;2024-01-01T00:00:00.000+03:00
a0534303-8730-5d2f-9eab-aee394a1e650;Lucky Bi;1,499;2024-01-01T00:00:00.000+03:00
e6e25cf0-ccb1-5f16-9b23-d6b5ef57e942;Lucky Bi;1,499;2024-01-01T00:00:00.000+03:00
6b05a9b2-9b7d-56cd-bc90-6948fb982bad;Lucky Bi;1,499;2024-01-01T00:00:00.000+03:00
8b9026da-2160-571c-adad-c8b2341c8a0d;Lucky Bi;1,499;2024-01-01T00:00:00.000+03:00
