id;brand;actual_price;date;load_date
17142be6-72a0-578f-8c82-0bc52b3194c4;adidas Origina;2,299;2024-01-01T00:00:00.000+03:00;2024-01-01
c839dcbf-4218-5d49-8a00-03f52be09384;adidas Origina;2,299;2024-03-01T00:00:00.000+03:00;2024-03-01
9ac18a59-6085-54d3-8f73-95574c1de763;adidas Origina;2,299;2024-01-01T00:00:00.000+03:00;2024-01-01
3d42a088-ba2c-5f8e-8142-69d834e0e6f9;SayItLo;799;2024-03-01T00:00:00.000+03:00;2024-03-01
bb3690f3-ec5f-5552-a30b-9e3400493836;SayItLo;799;2024-04-01T00:00:00.000+03:00;2024-04-01
194f3f3a-c3b2-5b52-934a-28c0a33200f7;SayItLo;799;2024-02-01T00:00:00.000+03:00;2024-02-01
cf00407e-716a-5fb0-885d-37c4e3a6ef7d;SayItLo;999;2024-04-01T00:00:00.000+03:00;2024-04-01
6ab2fa7b-d04d-5153-9c01-fce754a91db0;SayItLo;799;2024-02-01T00:00:00.000+03:00;2024-02-01
4c29df31-31a8-53df-b6d0-cffd33a146f3;SayItLo;799;2024-04-01T00:00:00.000+03:00;2024-04-01
43bae78e-5643-58d4-9ae3-3767d448b3fa;Jai Textil;1,499;2024-01-01T00:00:00.000+03:00;2024-01-01
3d6dae3b-d3d4-5b2b-a6b4-ac6c469c0993;Jai Textil;1,499;2024-03-01T00:00:00.000+03:00;2024-03-01
ab981094-8d0b-5871-b3f6-388d7630dc07;Jai Textil;1,499;2024-01-01T00:00:00.000+03:00;2024-01-01
4852415a-cafe-503e-8488-f8973a72197e;Jai Textil;1,499;2024-03-01T00:00:00.000+03:00;2024-03-01
c6f13eac-cbab-556a-bd7b-6aa75fd48cd2;Jai Textil;999;2024-01-01T00:00:00.000+03:00;2024-01-01
126a7742-6f68-5b14-a94a-91676a6103a3;Jai Textil;1,499;2024-03-01T00:00:00.000+03:00;2024-03-01
47c33a8e-2e0d-571a-a3c5-8769f9823f17;Jai Textil;999;2024-01-01T00:00:00.000+03:00;2024-01-01
09de9984-41e8-5829-acf6-60ffb8abf34d;Jai Textil;1,799;2024-03-01T00:00:00.000+03:00;2024-03-01
5745ad1d-9d4a-545b-93a1-4f15d7557e55;Jai Textil;1,499;2024-04-01T00:00:00.000+03:00;2024-04-01
c81c9eab-097e-505d-be4c-a2b640cd3d18;Jai Textil;999;2024-02-01T00:00:00.000+03:00;2024-02-01
fda75bdd-28f3-5751-b009-8459f9d70d14;Jai Textil;999;2024-04-01T00:00:00.000+03:00;2024-04-01
8e7a804a-66dc-500e-b001-5979e3b6fc62;Jai Textil;999;2024-02-01T00:00:00.000+03:00;2024-02-01
8f1f129e-9652-5443-ac65-08475bf3878f;Jai Textil;999;2024-04-01T00:00:00.000+03:00;2024-04-01
0928bedc-5c43-50fb-89e6-113b390f2a6b;Jai Textil;999;2024-02-01T00:00:00.000+03:00;2024-02-01
7c20239a-76fe-56a6-917c-32aec6f395c3;Jai Textil;1,499;2024-04-01T00:00:00.000+03:00;2024-04-01
e2e89f9e-8bdc-55e5-b833-3ccb48943ded;Jai Textil;999;2024-02-01T00:00:00.000+03:00;2024-02-01
09660745-23cd-5ee7-b549-d2be4950d49c;Jai Textil;1,499;2024-04-01T00:00:00.000+03:00;2024-04-01
970bee44-71af-5c54-a645-a49d3cc41832;Jai Textil;1,499;2024-02-01T00:00:00.000+03:00;2024-02-01
34fa8f45-00e1-5536-8529-143ae23eeb5b;Jai Textil;1,499;2024-04-01T00:00:00.000+03:00;2024-04-01
cd6f0b55-e0af-5b03-805f-b701b77e1022;Jai Textil;1,499;2024-02-01T00:00:00.000+03:00;2024-02-01
936ab039-784c-5ee5-b584-728234a1d51d;Jai Textil;1,499;2024-04-01T00:00:00.000+03:00;2024-04-01
7adf4455-70dc-51bd-bd82-b351b29edf6a;Clo;749;2024-02-01T00:00:00.000+03:00;2024-02-01
fd644360-e033-520d-bd8f-b52fa624b221;REEB;799;2024-02-01T00:00:00.000+03:00;2024-02-01
f64cd966-084c-538e-84e8-6f0289e5655b;AXMA;995;2024-04-01T00:00:00.000+03:00;2024-04-01
9228d346-a9ad-5ffc-91c6-bc23418cb422;AXMA;995;2024-02-01T00:00:00.000+03:00;2024-02-01
c1677081-2bed-5bd9-bab7-a0ce1062e8d7;Vector;;2024-04-01T00:00:00.000+03:00;2024-04-01
7c142e88-2d96-5fc2-a1e8-6f8979b74063;Vector;499;2024-02-01T00:00:00.000+03:00;2024-02-01
a90f16ed-53df-5f50-bccd-152a80f9a8c6;Cher;1,299;2024-04-01T00:00:00.000+03:00;2024-04-01
1289cbe2-8460-574a-96d9-11c6d45a8137;Cher;1,299;2024-04-01T00:00:00.000+03:00;2024-04-01
